federal_action_obligation,total_dollars_obligated,base_and_exercised_options_value,base_and_all_options_value,potential_total_value_of_award,action_date_fiscal_year,awarding_office_name,funding_office_name,recipient_parent_name,recipient_city_name,recipient_state_name,primary_place_of_performance_city_name,primary_place_of_performance_state_code,type_of_contract_pricing,product_or_service_code_description,naics_description,place_of_manufacture,solicitation_procedures,organizational_type,corporate_entity_not_tax_exempt,partnership_or_limited_liability_partnership,sole_proprietorship,educational_institution
0.0,2274295.97,0.0,0.0,3963501.9,2023,REGION 9 CONTRACTING OFFICE,REGION 9 (FUNDING OFFICE),INNOVATE! INC,ALEXANDRIA,VIRGINIA,SAN FRANCISCO,CA,LABOR HOURS,IT AND TELECOM- PROGRAMMING,COMPUTER SYSTEMS DESIGN SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
198381.13,2119295.97,0.0,0.0,3963501.9,2023,REGION 9 CONTRACTING OFFICE,REGION 9 (FUNDING OFFICE),INNOVATE! INC,ALEXANDRIA,VIRGINIA,SAN FRANCISCO,CA,LABOR HOURS,IT AND TELECOM- PROGRAMMING,COMPUTER SYSTEMS DESIGN SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,2119295.97,0.0,0.0,3963501.9,2023,REGION 9 CONTRACTING OFFICE,REGION 9 (FUNDING OFFICE),INNOVATE! INC,ALEXANDRIA,VIRGINIA,SAN FRANCISCO,CA,LABOR HOURS,IT AND TELECOM- PROGRAMMING,COMPUTER SYSTEMS DESIGN SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
162000.0,2586295.97,0.0,0.0,3963501.9,2023,REGION 9 CONTRACTING OFFICE,REGION 9 (FUNDING OFFICE),INNOVATE! INC,ALEXANDRIA,VIRGINIA,SAN FRANCISCO,CA,LABOR HOURS,IT AND TELECOM- PROGRAMMING,COMPUTER SYSTEMS DESIGN SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
140000.0,2259295.97,0.0,0.0,3963501.9,2023,REGION 9 CONTRACTING OFFICE,REGION 9 (FUNDING OFFICE),INNOVATE! INC,ALEXANDRIA,VIRGINIA,SAN FRANCISCO,CA,LABOR HOURS,IT AND TELECOM- PROGRAMMING,COMPUTER SYSTEMS DESIGN SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
150000.0,2424295.97,889899.21,0.0,3963501.9,2023,REGION 9 CONTRACTING OFFICE,REGION 9 (FUNDING OFFICE),INNOVATE! INC,ALEXANDRIA,VIRGINIA,SAN FRANCISCO,CA,LABOR HOURS,IT AND TELECOM- PROGRAMMING,COMPUTER SYSTEMS DESIGN SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,1920914.84,0.0,0.0,3963501.9,2023,REGION 9 CONTRACTING OFFICE,REGION 9 (FUNDING OFFICE),INNOVATE! INC,ALEXANDRIA,VIRGINIA,SAN FRANCISCO,CA,LABOR HOURS,IT AND TELECOM- PROGRAMMING,COMPUTER SYSTEMS DESIGN SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
15000.0,2274295.97,0.0,0.0,3963501.9,2023,REGION 9 CONTRACTING OFFICE,REGION 9 (FUNDING OFFICE),INNOVATE! INC,ALEXANDRIA,VIRGINIA,SAN FRANCISCO,CA,LABOR HOURS,IT AND TELECOM- PROGRAMMING,COMPUTER SYSTEMS DESIGN SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
272435.0,1315027.9,544870.4,0.0,2726674.69,2023,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFC FOR AIR  RAD (OAR) (FUNDING),"FULL CIRCLE GROUP, INC.",EXTON,PENNSYLVANIA,DURHAM,NC,FIRM FIXED PRICE,IT AND TELECOM- PROGRAMMING,COMPUTER SYSTEMS DESIGN SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
272435.4,1587463.3,0.0,0.0,2726674.69,2023,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFC FOR AIR  RAD (OAR) (FUNDING),"FULL CIRCLE GROUP, INC.",EXTON,PENNSYLVANIA,DURHAM,NC,FIRM FIXED PRICE,IT AND TELECOM- PROGRAMMING,COMPUTER SYSTEMS DESIGN SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
117129.0,1704592.3,561209.77,0.0,2726674.69,2023,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFC FOR AIR  RAD (OAR) (FUNDING),"FULL CIRCLE GROUP, INC.",EXTON,PENNSYLVANIA,DURHAM,NC,FIRM FIXED PRICE,IT AND TELECOM- PROGRAMMING,COMPUTER SYSTEMS DESIGN SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
12563.7,12563.7,12563.7,12563.7,12563.7,2023,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFC CHEMSFTYPOLLPREV(OCSPP) (FUND),"ENTERPRISE TECHNOLOGY SOLUTIONS, INC.",COLLEGE PARK,MARYLAND,COLLEGE PARK,MD,FIRM FIXED PRICE,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,OTHER COMPUTER RELATED SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
10455.67,10455.67,10455.67,10455.67,10455.67,2023,ORD SIMPLIFIED ACQ BRANCH (SAB),OFC RESEARCH  DEV (ORD) (FUNDING),"SAMYAK SOLUTIONS, INC.",CENTREVILLE,VIRGINIA,CINCINNATI,OH,FIRM FIXED PRICE,LABORATORY EQUIPMENT AND SUPPLIES,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,MFG IN U.S.,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
103806.0,103806.0,103806.0,528979.0,528979.0,2023,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,OHIO,CINCINNATI,OH,TIME AND MATERIALS,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
181684.0,285490.0,225680.0,0.0,528979.0,2023,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,OHIO,CINCINNATI,OH,TIME AND MATERIALS,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,7661000.0,0.0,0.0,15904460.05,2023,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFC OF MISSION SUPT (OMS) (FUNDING),"CARTRIDGE TECHNOLOGIES, LLC",ROCKVILLE,MARYLAND,DERWOOD,MD,TIME AND MATERIALS,PHOTO/MAP/PRINT/PUBLICATION- PRINT/BINDING,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,7661000.0,0.0,0.0,15904460.05,2023,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFC OF MISSION SUPT (OMS) (FUNDING),"CARTRIDGE TECHNOLOGIES, LLC",ROCKVILLE,MARYLAND,DERWOOD,MD,TIME AND MATERIALS,PHOTO/MAP/PRINT/PUBLICATION- PRINT/BINDING,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,7661000.0,0.0,0.0,15904460.05,2023,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFC OF MISSION SUPT (OMS) (FUNDING),"CARTRIDGE TECHNOLOGIES, LLC",ROCKVILLE,MARYLAND,DERWOOD,MD,TIME AND MATERIALS,PHOTO/MAP/PRINT/PUBLICATION- PRINT/BINDING,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,7661000.0,0.0,0.0,15904460.05,2023,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFC OF MISSION SUPT (OMS) (FUNDING),"CARTRIDGE TECHNOLOGIES, LLC",ROCKVILLE,MARYLAND,DERWOOD,MD,TIME AND MATERIALS,PHOTO/MAP/PRINT/PUBLICATION- PRINT/BINDING,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,7661000.0,0.0,0.0,15904460.05,2023,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFC OF MISSION SUPT (OMS) (FUNDING),"CARTRIDGE TECHNOLOGIES, LLC",ROCKVILLE,MARYLAND,DERWOOD,MD,TIME AND MATERIALS,PHOTO/MAP/PRINT/PUBLICATION- PRINT/BINDING,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,7661000.0,0.0,0.0,15904460.05,2023,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFC OF MISSION SUPT (OMS) (FUNDING),"CARTRIDGE TECHNOLOGIES, LLC",ROCKVILLE,MARYLAND,DERWOOD,MD,TIME AND MATERIALS,PHOTO/MAP/PRINT/PUBLICATION- PRINT/BINDING,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
94699.69,94699.69,94699.69,194118.43,194118.43,2023,ORD SIMPLIFIED ACQ BRANCH (SAB),OFC RESEARCH  DEV (ORD) (FUNDING),SFS CHEMICAL SAFETY INC,LAS VEGAS,NEVADA,LAS VEGAS,NV,FIRM FIXED PRICE,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),OTHER COMPUTER RELATED SERVICES,MFG IN U.S.,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
104219.75,104219.75,516638.32,2951870.44,2951870.44,2023,REGION 6 CONTRACTING OFFICE,REGION 6 (FUNDING OFFICE),HUMAN CAPTIAL RESOURCES & CONCEPTS INC,WINTER HAVEN,FLORIDA,DALLAS,TX,FIRM FIXED PRICE,SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AND BADGING,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
96608.0,96608.0,96608.0,153157.0,153157.0,2023,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,OHIO,CINCINNATI,OH,FIRM FIXED PRICE,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
56549.0,153157.0,56549.0,0.0,153157.0,2023,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,OHIO,CINCINNATI,OH,FIRM FIXED PRICE,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
35000.0,1220100.32,0.0,0.0,1460438.6,2023,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFFICE FOR WATER (OW) (FUNDING),TTW SOLUTIONS INC,BETHESDA,MARYLAND,WASHINGTON,DC,LABOR HOURS,IT AND TELECOM- PROGRAMMING,CUSTOM COMPUTER PROGRAMMING SERVICES,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,1185100.32,208164.76,208164.76,1460438.6,2023,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFFICE FOR WATER (OW) (FUNDING),TTW SOLUTIONS INC,BETHESDA,MARYLAND,WASHINGTON,DC,LABOR HOURS,IT AND TELECOM- PROGRAMMING,CUSTOM COMPUTER PROGRAMMING SERVICES,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,1185100.32,0.0,0.0,1252273.84,2023,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFFICE FOR WATER (OW) (FUNDING),TTW SOLUTIONS INC,BETHESDA,MARYLAND,WASHINGTON,DC,LABOR HOURS,IT AND TELECOM- PROGRAMMING,CUSTOM COMPUTER PROGRAMMING SERVICES,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,96803.98,0.0,0.0,524321.57,2023,HEADQUARTERS ACQUISITION DIV (HQAD),OFC FOR AIR  RAD (OAR) (FUNDING),CONNEXUS HUB INC,IRVINE,CALIFORNIA,WASHINGTON,DC,FIRM FIXED PRICE,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOT A MANUFACTURED END PRODUCT,SIMPLIFIED ACQUISITION,CORPORATE NOT TAX EXEMPT,t,f,f,f
21620.56,96803.98,21620.56,117103.91,524321.57,2023,HEADQUARTERS ACQUISITION DIV (HQAD),OFC FOR AIR  RAD (OAR) (FUNDING),CONNEXUS HUB INC,IRVINE,CALIFORNIA,WASHINGTON,DC,FIRM FIXED PRICE,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOT A MANUFACTURED END PRODUCT,SIMPLIFIED ACQUISITION,CORPORATE NOT TAX EXEMPT,t,f,f,f
75183.42,96803.98,75183.42,407217.66,524321.57,2023,HEADQUARTERS ACQUISITION DIV (HQAD),OFC FOR AIR  RAD (OAR) (FUNDING),CONNEXUS HUB INC,IRVINE,CALIFORNIA,WASHINGTON,DC,FIRM FIXED PRICE,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,NOT A MANUFACTURED END PRODUCT,SIMPLIFIED ACQUISITION,CORPORATE NOT TAX EXEMPT,t,f,f,f
54000.0,54000.0,242653.2,1225266.0,1225266.0,2023,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),KRA-CRJ JV INC,FORT WALTON BEACH,FLORIDA,GULF BREEZE,FL,FIRM FIXED PRICE,HOUSEKEEPING- CUSTODIAL JANITORIAL,JANITORIAL SERVICES,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
188653.2,242653.2,0.0,0.0,1225266.0,2023,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),KRA-CRJ JV INC,FORT WALTON BEACH,FLORIDA,GULF BREEZE,FL,FIRM FIXED PRICE,HOUSEKEEPING- CUSTODIAL JANITORIAL,JANITORIAL SERVICES,NOT A MANUFACTURED END PRODUCT,ONLY ONE SOURCE,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,395676.0,0.0,0.0,579153.0,2023,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,OHIO,CINCINNATI,OH,TIME AND MATERIALS,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,395676.0,0.0,0.0,579153.0,2023,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,OHIO,CINCINNATI,OH,TIME AND MATERIALS,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
222500.0,395676.0,226646.0,50455.0,579153.0,2023,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,OHIO,CINCINNATI,OH,TIME AND MATERIALS,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
50000.0,1575897.0,225658.0,458085.0,3546805.0,2023,CINCINNATI ACQUISITION DIV (CAD),OFFICE FOR WATER (OW) (FUNDING),AVANTI CORPORATION,ALEXANDRIA,VIRGINIA,ALEXANDRIA,VA,COST PLUS FIXED FEE,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL CONSULTING AND LEGAL SUPPORT,ENVIRONMENTAL CONSULTING SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
1525897.0,1525897.0,1525897.0,3088720.0,3088720.0,2023,CINCINNATI ACQUISITION DIV (CAD),OFFICE FOR WATER (OW) (FUNDING),AVANTI CORPORATION,ALEXANDRIA,VIRGINIA,ALEXANDRIA,VA,COST PLUS FIXED FEE,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL CONSULTING AND LEGAL SUPPORT,ENVIRONMENTAL CONSULTING SERVICES,NOT A MANUFACTURED END PRODUCT,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,CORPORATE NOT TAX EXEMPT,t,f,f,f
7146.0,646127.0,0.0,0.0,3637019.0,2023,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,OHIO,CINCINNATI,OH,TIME AND MATERIALS,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
893175.0,1539302.0,1675807.0,1204772.0,4841791.0,2023,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,OHIO,CINCINNATI,OH,TIME AND MATERIALS,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,1539302.0,0.0,0.0,4841791.0,2023,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,OHIO,CINCINNATI,OH,TIME AND MATERIALS,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
100170.0,638981.0,0.0,0.0,3637019.0,2023,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,OHIO,CINCINNATI,OH,TIME AND MATERIALS,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
144806.0,144806.0,144806.0,144806.0,144806.0,2023,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,OHIO,CINCINNATI,OH,TIME AND MATERIALS,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
0.0,656996.0,0.0,0.0,656996.0,2023,CINCINNATI ACQUISITION DIV (CAD),OFC RESEARCH  DEV (ORD) (FUNDING),"PEGASUS TECHNICAL SERVICES, INC",CINCINNATI,OHIO,CINCINNATI,OH,TIME AND MATERIALS,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
153770.0,2714165.49,0.0,0.0,4852924.0,2023,REGION 7 CONTRACTING OFFICE,REGION 10 (FUNDING OFFICE),"VERACITY CONSULTING, INC.",OVERLAND PARK,KANSAS,SEATTLE,WA,FIRM FIXED PRICE,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",OTHER COMPUTER RELATED SERVICES,NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
384425.0,2560395.49,0.0,0.0,4852924.0,2023,REGION 7 CONTRACTING OFFICE,REGION 10 (FUNDING OFFICE),"VERACITY CONSULTING, INC.",OVERLAND PARK,KANSAS,SEATTLE,WA,FIRM FIXED PRICE,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",OTHER COMPUTER RELATED SERVICES,NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
313692.0,3027857.49,1038076.0,0.0,4852924.0,2023,REGION 7 CONTRACTING OFFICE,REGION 10 (FUNDING OFFICE),"VERACITY CONSULTING, INC.",OVERLAND PARK,KANSAS,SEATTLE,WA,FIRM FIXED PRICE,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",OTHER COMPUTER RELATED SERVICES,NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
235269.0,3263126.49,0.0,0.0,4852924.0,2023,REGION 7 CONTRACTING OFFICE,REGION 10 (FUNDING OFFICE),"VERACITY CONSULTING, INC.",OVERLAND PARK,KANSAS,SEATTLE,WA,FIRM FIXED PRICE,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",OTHER COMPUTER RELATED SERVICES,NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
-10828.49,10828.49,-10828.49,-10828.49,55060.39,2023,INFORMATION TECHNOLOGY ACQ DIV (ITA,OFC LANDEMERG MGMT (OLEM)(FUNDING),FILIUS CORPORATION,CENTREVILLE,VIRGINIA,DULLES,VA,FIRM FIXED PRICE,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,OTHER COMPUTER RELATED SERVICES,NOT A MANUFACTURED END PRODUCT,NEGOTIATED PROPOSAL/QUOTE,CORPORATE NOT TAX EXEMPT,t,f,f,f
